,VALUE
454,55300.0
455,7600.0
456,9000.0
457,17500.0
458,20900.0
459,22600.0
460,28800.0
461,29300.0
462,28900.0
463,31000.0
464,26300.0
465,19000.0
466,1800.0
467,14800.0
468,10200.0
469,15000.0
470,16500.0
471,18900.0
472,19400.0
473,25400.0
474,15700.0
475,22400.0
476,24000.0
477,22100.0
478,100.0
479,400.0
480,18700.0
481,33600.0
482,38900.0
483,40100.0
484,43500.0
485,35400.0
486,40800.0
487,45700.0
488,41900.0
489,42900.0
490,43100.0
491,100.0
492,4700.0
493,38900.0
494,18300.0
495,24500.0
496,28400.0
497,26600.0
498,32800.0
499,34300.0
500,37100.0
501,46300.0
502,52500.0
503,61100.0
504,200.0
505,1900.0
506,63800.0
507,74400.0
508,81400.0
509,88700.0
510,85200.0
511,99200.0
512,99100.0
513,94200.0
514,101900.0
515,105800.0
516,114600.0
517,600.0
518,4000.0
519,103200.0
520,44400.0
521,59600.0
522,64800.0
523,63000.0
524,75600.0
525,84500.0
526,84700.0
527,95000.0
528,108600.0
529,116800.0
530,600.0
531,3200.0
532,77100.0
533,30200.0
534,38100.0
535,44400.0
536,42300.0
537,44000.0
538,51500.0
539,52100.0
540,56400.0
541,64300.0
542,65700.0
543,0.0
544,800.0
545,75100.0
546,81100.0
547,117900.0
548,120000.0
549,121100.0
550,126400.0
551,134700.0
552,155900.0
553,172300.0
554,182300.0
555,195900.0
556,0.0
557,6300.0
558,197600.0
559,455300.0
560,538200.0
561,504500.0
562,467300.0
563,549500.0
564,573000.0
565,590800.0
566,653700.0
567,629300.0
568,661700.0
569,9300.0
570,21600.0
571,548300.0
572,59400.0
573,69600.0
574,71300.0
575,77700.0
576,85200.0
577,87100.0
578,99000.0
579,126100.0
580,149200.0
581,154500.0
582,1100.0
583,3300.0
584,110500.0
585,8600.0
586,11500.0
587,14600.0
588,14000.0
589,13500.0
590,16100.000000000002
591,18600.0
592,19300.0
593,20900.0
594,22200.0
595,0.0
596,500.0
597,17800.0
598,22400.0
599,31900.0
600,32900.0
601,35800.0
602,35900.0
603,37300.0
604,52900.0
605,59400.0
606,66200.0
607,63700.0
608,1200.0
609,7300.0
610,59300.0
611,8400.0
612,9800.0
613,18100.0
614,21800.0
615,23700.0
616,33300.0
617,30000.0
618,34100.0
619,35700.0
620,25900.0
621,100.0
622,700.0
623,15600.0
624,12200.0
625,15200.0
626,16000.0
627,19700.0
628,17700.0
629,23900.0
630,21100.0
631,21400.0
632,22000.0
633,21100.0
634,300.0
635,0.0
636,18500.0
637,41800.0
638,45300.0
639,39500.0
640,40100.0
641,38400.0
642,41300.0
643,46200.0
644,45200.0
645,42200.0
646,44200.0
647,100.0
648,6500.0
649,43300.0
650,30900.0
651,42000.0
652,31500.0
653,39100.0
654,42100.0
655,44200.0
656,53700.0
657,59600.0
658,63700.0
659,75000.0
660,700.0
661,2800.0
662,76800.0
663,87500.0
664,88300.0
665,83000.0
666,93200.0
667,97200.0
668,99600.0
669,102800.0
670,102400.0
671,106400.0
672,107400.0
673,1400.0
674,1500.0
675,107400.0
676,59100.0
677,66300.0
678,67800.0
679,73000.0
680,77500.0
681,91200.0
682,95400.0
683,95200.0
684,114800.0
685,113400.0
686,1400.0
687,3400.0
688,84700.0
689,38900.0
690,44000.0
691,42400.0
692,42600.0
693,46900.0
694,53600.0
695,58300.0
696,57000.0
697,63600.0
698,70400.0
699,0.0
700,800.0
701,77500.0
702,125700.0
703,139000.0
704,130900.0
705,142900.0
706,143800.0
707,154900.0
708,182400.0
709,184100.0
710,204000.0
711,215400.0
712,100.0
713,6800.0
714,220200.0
715,506600.0
716,540500.0
717,500600.0
718,521799.99999999994
719,554100.0
720,595100.0
721,642600.0
722,648600.0
723,664900.0
724,666700.0
725,16400.0
726,32400.0
727,536200.0
728,79000.0
729,87600.0
730,87700.0
731,101900.0
732,114100.0
733,124500.0
734,137700.0
735,160800.0
736,193100.0
737,199100.0
738,1700.0
739,4900.0
740,151100.0
741,10100.0
742,12500.0
743,13300.0
744,14100.0
745,13100.0
746,16000.0
747,18800.0
748,17400.0
749,20100.0
750,22100.0
751,0.0
752,700.0
753,16000.0
754,27700.0
755,33000.0
756,32400.0
757,36700.0
758,35700.0
759,36600.0
760,50100.0
761,55600.0
762,61200.0
763,62300.0
764,2700.0
765,8200.0
766,59400.0
767,8300.0
768,9900.0
769,17100.0
770,19200.0
771,23000.0
772,27600.0
773,25300.0
774,28000.0
775,27400.0
776,24300.0
777,100.0
778,700.0
779,16600.0
780,13400.0
781,14600.0
782,14700.0
783,18300.0
784,16900.0
785,24200.0
786,22900.0
787,20900.0
788,20500.0
789,19700.0
790,600.0
791,1200.0
792,18000.0
793,43700.0
794,41800.0
795,45600.0
796,37200.0
797,35300.0
798,39100.0
799,39900.0
800,41100.0
801,40600.0
802,40200.0
803,400.0
804,12500.0
805,39700.0
806,37600.0
807,36500.0
808,39200.0
809,47300.0
810,50400.0
811,57000.0
812,61700.0
813,69700.0
814,70800.0
815,82100.0
816,1500.0
817,5400.0
818,82600.0
819,103900.0
820,99000.0
821,104900.0
822,106100.0
823,113900.0
824,126700.0
825,137200.0
826,121600.0
827,126100.0
828,128400.0
829,3000.0
830,5600.0
831,114300.0
832,58000.0
833,63400.0
834,64800.0
835,66900.0
836,78100.0
837,85100.0
838,93100.0
839,99300.0
840,110600.0
841,113500.0
842,3900.0
843,6800.0
844,87500.0
845,47100.0
846,48800.0
847,52500.0
848,53700.0
849,57600.0
850,72200.0
851,73500.0
852,76500.0
853,82400.0
854,86100.0
855,400.0
856,4800.0
857,92400.0
858,159400.0
859,166400.0
860,174000.0
861,191000.0
862,188500.0
863,214300.0
864,227100.0
865,248000.0
866,260600.00000000003
867,267500.0
868,900.0
869,14500.0
870,250800.0
871,514299.99999999994
872,511200.0
873,520400.0
874,496900.0
875,525600.0
876,580500.0
877,627100.0
878,624100.0
879,637400.0
880,642500.0
881,32299.999999999996
882,57700.0
883,530600.0
884,94400.0
885,97500.0
886,97200.0
887,119900.0
888,134300.0
889,149800.0
890,161100.0
891,185100.0
892,216100.0
893,214700.0
894,3700.0
895,11000.0
896,174600.0
897,10000.0
898,12100.0
899,13800.0
900,13400.0
901,13200.0
902,16800.0
903,18400.0
904,19900.0
905,21900.0
906,23300.0
907,500.0
908,1300.0
909,20400.0
910,29200.0
911,31200.0
912,32200.000000000004
913,35000.0
914,36800.0
915,36400.0
916,49200.0
917,56000.0
918,62300.0
919,61900.0
920,4400.0
921,10000.0
922,59600.0
923,8200.0
924,9600.0
925,19600.0
926,20100.0
927,22200.0
928,28600.0
929,28300.0
930,28700.0
931,30000.0
932,28500.0
933,900.0
934,1400.0
935,17500.0
936,15100.0
937,16500.0
938,17100.0
939,19100.0
940,19200.0
941,27100.0
942,25800.0
943,22900.0
944,22700.0
945,21800.0
946,2700.0
947,4000.0
948,22000.0
949,48500.0
950,46600.0
951,42600.0
952,44200.0
953,39900.0
954,43200.0
955,44700.0
956,44500.0
957,43300.0
958,43000.0
959,12700.0
960,26000.0
961,41200.0
962,47300.0
963,45900.0
964,47900.0
965,54500.0
966,58600.0
967,62500.0
968,71300.0
969,76700.0
970,75100.0
971,92500.0
972,7400.0
973,13100.0
974,86300.0
975,135200.0
976,125900.0
977,131100.0
978,132900.0
979,156000.0
980,157000.0
981,153800.0
982,150900.0
983,156500.0
984,160400.0
985,13200.0
986,23100.0
987,153300.0
988,71400.0
989,71500.0
990,76400.0
991,78600.0
992,87600.0
993,100000.0
994,105900.0
995,113500.0
996,131600.0
997,126200.0
998,9800.0
999,17200.0
1000,99700.0
1001,61200.0
1002,61100.0
1003,66500.0
1004,64400.00000000001
1005,71600.0
1006,85500.0
1007,87000.0
1008,89200.0
1009,94000.0
1010,101200.0
1011,6900.0
1012,14900.0
1013,104600.0
1014,193300.0
1015,197300.0
1016,200600.0
1017,219700.0
1018,220900.0
1019,243800.0
1020,265000.0
1021,279300.0
1022,286100.0
1023,292900.0
1024,23000.0
1025,42300.0
1026,277200.0
1027,671100.0
1028,665200.0
1029,613900.0
1030,643500.0
1031,678800.0
1032,733900.0
1033,784900.0
1034,780500.0
1035,790400.0
1036,798200.0
1037,97100.0
1038,122700.0
1039,661200.0
1040,94300.0
1041,98900.0
1042,95300.0
1043,120200.0
1044,127800.0
1045,149400.0
1046,156500.0
1047,181200.0
1048,199200.0
1049,199700.0
1050,8100.0
1051,26700.0
1052,176600.0
1053,12700.0
1054,15400.0
1055,17400.0
1056,18700.0
1057,20300.0
1058,22700.0
1059,23300.0
1060,25700.0
1061,28000.0
1062,28100.0
1063,2500.0
1064,5100.0
1065,27000.0
1066,32700.000000000004
1067,35800.0
1068,36600.0
1069,41300.0
1070,41900.0
1071,40900.0
1072,56700.0
1073,63900.0
1074,71000.0
1075,70100.0
1076,9400.0
1077,18500.0
1078,53600.0
1079,9200.0
1080,11100.0
1081,19900.0
1082,23800.0
1083,27500.0
1084,36400.0
1085,37300.0
1086,35400.0
1087,35200.0
1088,33600.0
1089,3600.0
1090,7000.0
1091,21700.0
1092,13900.0
1093,14500.0
1094,15300.0
1095,18000.0
1096,16600.0
1097,23800.0
1098,23100.0
1099,20900.0
1100,22000.0
1101,20000.0
1102,2400.0
1103,8800.0
1104,21400.0
1105,48400.0
1106,49200.0
1107,48900.0
1108,46800.0
1109,45400.0
1110,46400.0
1111,49700.0
1112,46100.0
1113,45000.0
1114,45700.0
1115,31700.0
1116,43200.0
1117,43200.0
1118,50000.0
1119,43200.0
1120,45400.0
1121,53900.0
1122,57700.0
1123,60100.0
1124,67100.0
1125,74100.0
1126,73400.0
1127,95600.0
1128,13000.0
1129,42200.0
1130,89500.0
1131,133000.0
1132,120800.0
1133,126500.0
1134,123500.0
1135,148500.0
1136,142900.0
1137,139800.0
1138,136700.0
1139,145200.0
1140,151200.0
1141,22000.0
1142,57100.0
1143,153800.0
1144,74000.0
1145,72500.0
